,SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,Type
DQO_mg/L,-0.093437423,0.8576168619037103,1,0.33281998262504625,0.006122462,-0.021232491,-0.16856823,-0.018627322,-0.014241022,LR with Label Encoder (Pearson)
SST_mg/L,0.020530860150042463,0.24716768682457124,0.33281998262504625,1,-0.023340134,-0.031818328,-0.190482533,-0.032335781,-0.037729151,LR with Label Encoder (Pearson)
COLI_FEC_NMP_100mL,0.01828108,0.007553933,0.006122462,-0.023340134,1,0.098247837,0.024204143583660347,0.13164636044711403,0.5301946650900523,LR with Label Encoder (Pearson)
E_COLI_NMP_100mL,0.021347056807610953,-0.018011387,-0.021232491,-0.031818328,0.098247837,1,-0.027186087,0.9978861842702451,0.8943130804120556,LR with Label Encoder (Pearson)
OD_PORC,-0.013531493,-0.17057591,-0.16856823,-0.190482533,0.024204143583660347,-0.027186087,1,-0.022787847,-0.009408485,LR with Label Encoder (Pearson)
TOX_D_48_UT,0.018447169,-0.014061426,-0.018627322,-0.032335781,0.13164636044711403,0.9978861842702451,-0.022787847,1,0.9101773705105507,LR with Label Encoder (Pearson)
TOX_V_15_UT,0.023678025,-0.009661663,-0.014241022,-0.037729151,0.5301946650900523,0.8943130804120556,-0.009408485,0.9101773705105507,1,LR with Label Encoder (Pearson)
,,,,,,,,,,
SITIO,1,-0.135557799,-0.166340363,-0.038390467,0.030591624180444088,-0.022605609,0.04337158,-0.127927116,-0.102466282,LR with Label Encoder (Spearman)
DBO_mg/L,-0.135557799,1,0.7454066918821587,0.38164269920526245,0.057598044468915414,0.5835283238312818,-0.714212877,0.9051751171307056,0.8882409046834565,LR with Label Encoder (Spearman)
DQO_mg/L,-0.166340363,0.7454066918821587,1,0.44874159849205447,-0.01965668,0.5436847512497058,-0.658338463,0.7154975589738878,0.7237060323452262,LR with Label Encoder (Spearman)
SST_mg/L,-0.038390467,0.38164269920526245,0.44874159849205447,1,0.2713989726177959,0.37736811707494283,-0.382071438,0.3388358963386056,0.29914503547082866,LR with Label Encoder (Spearman)
COLI_FEC_NMP_100mL,0.030591624180444088,0.057598044468915414,-0.01965668,0.2713989726177959,1,0.3501854132930456,-0.004850471,0.045253749,0.074759507,LR with Label Encoder (Spearman)
E_COLI_NMP_100mL,-0.022605609,0.5835283238312818,0.5436847512497058,0.37736811707494283,0.3501854132930456,1,-0.461390995,0.6359907723585091,0.6819661518226733,LR with Label Encoder (Spearman)
OD_PORC,0.04337158,-0.714212877,-0.658338463,-0.382071438,-0.004850471,-0.461390995,1,-0.6487784,-0.738258653,LR with Label Encoder (Spearman)
TOX_D_48_UT,-0.127927116,0.9051751171307056,0.7154975589738878,0.3388358963386056,0.045253749,0.6359907723585091,-0.6487784,1,0.9199831726685544,LR with Label Encoder (Spearman)
TOX_V_15_UT,-0.102466282,0.8882409046834565,0.7237060323452262,0.29914503547082866,0.074759507,0.6819661518226733,-0.738258653,0.9199831726685544,1,LR with Label Encoder (Spearman)
