,SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,Type
TOX_V_15_UT,-0.030274021,0.43984211976107584,0.5604355795094512,0.12833350421612788,0.12813700033989256,0.18512685236812515,-0.283929269,0.4530568006761314,1,KNN with Label Encoder (Pearson)
,,,,,,,,,,
SITIO,1,-0.061586263,-0.054088939,-0.026740022,0.044112123,0.072020438,-0.061473384,-0.046429496,0.01126911,KNN with Label Encoder (Spearman)
DBO_mg/L,-0.061586263,1,0.6404059879838816,0.4722614235420364,0.028736250987292156,0.28045121428602404,-0.391446333,0.19757129805884133,0.17730545374007792,KNN with Label Encoder (Spearman)
DQO_mg/L,-0.054088939,0.6404059879838816,1,0.4365495857431021,0.2118839123770636,0.3891173914492285,-0.434028613,0.16736005312471094,0.14175748511295228,KNN with Label Encoder (Spearman)
SST_mg/L,-0.026740022,0.4722614235420364,0.4365495857431021,1,0.2875292473145404,0.35028166455059045,-0.212750466,0.17425016323624012,-0.010989564,KNN with Label Encoder (Spearman)
COLI_FEC_NMP_100mL,0.044112123,0.028736250987292156,0.2118839123770636,0.2875292473145404,1,0.7658994003547644,-0.183195807,-0.002481866,0.10405740445406574,KNN with Label Encoder (Spearman)
E_COLI_NMP_100mL,0.072020438,0.28045121428602404,0.3891173914492285,0.35028166455059045,0.7658994003547644,1,-0.3586962,0.036189661,0.12268168182704225,KNN with Label Encoder (Spearman)
OD_PORC,-0.061473384,-0.391446333,-0.434028613,-0.212750466,-0.183195807,-0.3586962,1,-0.059921827,-0.051019551,KNN with Label Encoder (Spearman)
TOX_D_48_UT,-0.046429496,0.19757129805884133,0.16736005312471094,0.17425016323624012,-0.002481866,0.036189661,-0.059921827,1,0.5420620653597495,KNN with Label Encoder (Spearman)
TOX_V_15_UT,0.01126911,0.17730545374007792,0.14175748511295228,-0.010989564,0.10405740445406574,0.12268168182704225,-0.051019551,0.5420620653597495,1,KNN with Label Encoder (Spearman)
