,SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,Type
DBO_mg/L,-0.05164586353969052,1.0,0.6164224049294124,0.01773934804099703,0.005942289859557802,-0.011377437303001864,-0.32911882708988965,0.46280343937924556,0.45445998552709344,KNN with Label Encoder (Pearson)
DQO_mg/L,-0.019008497490952486,0.6164224049294124,1.0,0.032690589524295786,0.0029761668639337346,-0.007750500161585093,-0.26029958949257426,0.34345117307930595,0.3895384345368015,KNN with Label Encoder (Pearson)
SST_mg/L,-0.026943971776532644,0.01773934804099703,0.032690589524295786,1.0,-0.003369926242281352,-0.0047488677379379325,-0.039946379579999795,0.0027314251891542673,0.004744514546858862,KNN with Label Encoder (Pearson)
COLI_FEC_NMP_100mL,0.0016946631313925025,0.005942289859557802,0.0029761668639337346,-0.003369926242281352,1.0,0.09995239247115693,0.007027892399969048,0.10710350336476625,0.03574874108812466,KNN with Label Encoder (Pearson)
E_COLI_NMP_100mL,-0.000562531397789643,-0.011377437303001864,-0.007750500161585093,-0.0047488677379379325,0.09995239247115693,1.0,-0.012081277523409782,0.15466509067692935,0.05161150408395929,KNN with Label Encoder (Pearson)
OD_PORC,0.013190333429472787,-0.32911882708988965,-0.26029958949257426,-0.039946379579999795,0.007027892399969048,-0.012081277523409782,1.0,-0.1573448552946018,-0.26387450211151514,KNN with Label Encoder (Pearson)
TOX_D_48_UT,-0.0498061345338865,0.46280343937924556,0.34345117307930595,0.0027314251891542673,0.10710350336476625,0.15466509067692935,-0.1573448552946018,1.0,0.34021006894397215,KNN with Label Encoder (Pearson)
TOX_V_15_UT,-0.007417598257272551,0.45445998552709344,0.3895384345368015,0.004744514546858862,0.03574874108812466,0.05161150408395929,-0.26387450211151514,0.34021006894397215,1.0,KNN with Label Encoder (Pearson)
SITIO,1.0,-0.03397518031913749,-0.02855851053407963,0.06792007270895048,0.10012096554892576,0.10702046000978276,0.008281696381475466,-0.11935247609870607,-0.07894610754314979,KNN with Label Encoder (Spearman)
DBO_mg/L,-0.03397518031913749,1.0,0.643587023356834,0.44216272495473363,0.1119416486251442,0.25034497834184755,-0.4210269103070903,0.23314914444739954,0.29074211141913525,KNN with Label Encoder (Spearman)
DQO_mg/L,-0.02855851053407963,0.643587023356834,1.0,0.3919036831752955,0.23584934041727604,0.36820630044180913,-0.5171696490487045,0.2048543200894939,0.25688385980197714,KNN with Label Encoder (Spearman)
SST_mg/L,0.06792007270895048,0.44216272495473363,0.3919036831752955,1.0,0.3616178300165494,0.36769076284812974,-0.17242533516592698,0.13094972170496358,0.06066245682937582,KNN with Label Encoder (Spearman)
COLI_FEC_NMP_100mL,0.10012096554892576,0.1119416486251442,0.23584934041727604,0.3616178300165494,1.0,0.8348902057769246,-0.17936589617872647,0.03023767585527474,0.12845239710599243,KNN with Label Encoder (Spearman)
E_COLI_NMP_100mL,0.10702046000978276,0.25034497834184755,0.36820630044180913,0.36769076284812974,0.8348902057769246,1.0,-0.31042784548287483,0.038392906612614644,0.14572938848679381,KNN with Label Encoder (Spearman)
OD_PORC,0.008281696381475466,-0.4210269103070903,-0.5171696490487045,-0.17242533516592698,-0.17936589617872647,-0.31042784548287483,1.0,-0.09857653362999104,-0.17556100738575164,KNN with Label Encoder (Spearman)
TOX_D_48_UT,-0.11935247609870607,0.23314914444739954,0.2048543200894939,0.13094972170496358,0.03023767585527474,0.038392906612614644,-0.09857653362999104,1.0,0.5619074188969911,KNN with Label Encoder (Spearman)
TOX_V_15_UT,-0.07894610754314979,0.29074211141913525,0.25688385980197714,0.06066245682937582,0.12845239710599243,0.14572938848679381,-0.17556100738575164,0.5619074188969911,1.0,KNN with Label Encoder (Spearman)
